owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Executive Office of the President,Executive Office of the President,FY2023P12,011-1454,"Salaries and Expenses, Special Assistance to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,2752921.45,40948.77,6576000,0,0,3072466.65,3072466.65,12442336.87,8956151.25,244090.04,3486185.62,7638610.13,12442336.87,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-1457,"Salaries and Expenses, Office of National Drug Control Policy, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,1671923.55,-109578.57,31982000,0,0,1522480,1522480,35066824.98,33626485.07,932265.43,1440339.91,22865945.01,35066824.98,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-1460,"Other Federal Drug Control Programs, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,34199425.69,2784413.98,137120000,0,0,0,0,174103839.67,138899521.31,2784413.98,35204318.36,135762722.49,174103839.67,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-1461,"Counterdrug Technology Assessment Center, Office of National Drug Control Policy, Executive Office of the President",Executive Office of the President,Administration of Justice,Criminal justice assistance,69183.21,0,0,0,0,0,0,69183.21,0,0,69183.21,399947.86,69183.21,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-1750,"General Fund Payment to the Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,1026173.37,0,15000000,0,0,0,0,16026173.37,15000000,0,1026173.37,15000000,16026173.37,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-1751,"Intellectual Property Enforcement Coordinator, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,2503683.74,19159.55,1902000,0,0,0,0,4424843.29,575332.53,19159.55,3849510.76,561075.89,4424843.29,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-1800,"Salaries and Expenses, Office of the National Cyber Director, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,8165712.48,206612.83,21926000,0,0,0,0,30298325.31,20492423.54,206612.83,9805901.77,18592141.55,30298325.31,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-1802,"Salaries and Expenses, Office of Pandemic Preparedness and Response, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,0,69409.15,0,0,0,0,0,69409.15,6117.88,69409.15,63291.27,0,69409.15,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-1900,"Salaries and Expenses, Council of Economic Advisers, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,1488521.71,-236547.58,4903000,0,0,0,0,6154974.13,4088086.14,96754.38,2066887.99,4119868.2,6154974.13,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-2000,"Salaries and Expenses, National Security Council, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,3788760.8,185006.86,18901000,0,0,869595.28,869595.28,23744362.94,18470782.27,1036287.49,5273580.67,15074579.19,23744362.94,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-2600,"Office of Science and Technology Policy, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,4039402.27,-1574725.72,7965000,0,0,620145.8,620145.8,11049822.35,8467029.01,193535.35,2582793.34,7878365.91,11049822.35,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-3963,"Office of Environmental Quality Management Fund, Council on Environmental Quality and Office of Environmental Quality, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,195282.86,28901.98,0,0,0,160000,160000,384184.84,76171.93,28901.98,308012.91,62311.62,384184.84,2023-11-15
Department of Defense,Department of Defense,FY2023P12,011-4116,"Special Defense Acquisition Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International financial programs,420067373.1,392479801.58,0,0,0,165868541.05,165868541.05,978415715.73,410175282.64,271154004.46,568240433.09,413790871.03,978415715.73,2024-01-30
Department of Defense,Department of Defense,FY2023P12,011-4121,"Foreign Military Loan Liquidating Account, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,2438610.45,-2438610.45,0,0,0,1756192.97,1756192.97,1756192.97,0,0,1756192.97,0,1756192.97,2024-01-30
Peace Corps,Peace Corps,FY2023P12,011-5395,"Host Country Resident Contractors Separation Liability Fund, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,0,0,4000000,0,0,0,0,4000000,4000000,0,0,4047583.77,4000000,2023-11-02
Executive Office of the President,Executive Office of the President,FY2023P12,011-5512,"Spectrum Relocation Fund, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-8240,"Gifts and Donations, the White House Conference on Drug Abuse and Control, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,33046.39,0,0,0,0,0,0,33046.39,10086.77,0,22959.62,10086.77,33046.39,2023-11-15
Peace Corps,Peace Corps,FY2023P12,011-8245,"Gifts and Contributions, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,3467749.39,167148.22,150693.89,0,0,0,0,3785591.5,244884.92,167148.22,3540706.58,0,3785591.5,2023-11-02
Peace Corps,Peace Corps,FY2023P12,011-8246,"Advances from Foreign Governments, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-02
Peace Corps,Peace Corps,FY2023P12,011-8345,"Foreign Service National Separation Liability Trust Fund, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,269319.67,0,0,0,0,0,0,269319.67,195302.6,0,74017.07,9144.95,269319.67,2023-11-02
Executive Office of the President,Executive Office of the President,FY2023P12,011-8581,"Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,28228415.6,2795704.01,7730593.95,0,0,0,0,38754713.56,21283771.03,2861176.1,17470942.53,25523920.58,38754713.56,2023-11-15
Department of Agriculture,Department of Agriculture,FY2023P12,012-0013,"Expenses, Office of the Chief Information Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,12420441.85,793086.94,87534000,0,0,38160352.98,38160352.98,138907881.77,131094491.03,1510231.15,7813390.74,161492675.64,138907881.77,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0014,"Expenses, Office of the Chief Financial Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1051024.67,-55408.76,7367000,0,0,-13469.67,-13469.67,8349146.24,7373490.24,79026.88,975656,7194990.17,8349146.24,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0015,"Healthy Foods Financing Initiative, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Community development,2756521,0,3000000,0,0,0,0,5756521,5756521,0.28,0,2490283.87,5756521,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0017,"Emergency Watershed Protection Program, Natural Resources Conservation Programs, Agriculture",Department of Agriculture,Natural Resources and Environment,Water resources,97950508.53,3245944.29,0,0,0,0,0,101196452.82,5891465.74,3245944.29,95304987.08,163652054.19,101196452.82,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0113,"Expenses, Common Computing Environment, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,22104.29,0,0,0,0,0,0,22104.29,0,0,22104.29,0,22104.29,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0115,"Processing, Research and Marketing, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,10368634388.93,388153860.26,5857500144.68,0,0,82378164.84,82378164.84,16696666558.71,7424242548.3,390435865.86,9272424010.41,2061001031.19,16696666558.71,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0117,"Agriculture Buildings and Facilities, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,51583783.47,3110424.01,40581000,0,0,37042646.47,37042646.47,132317853.95,60938210.21,3110424.01,71379643.74,52460361.67,132317853.95,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0123,"Office of the Chief Economist, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,2532581.18,-345002.09,27881000,0,0,2425020.39,2425020.39,32493599.48,30340236.57,216724.64,2153362.91,29472619.52,32493599.48,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0124,"Office of the Under Secretary for Research, Education and Economics, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,3000772.01,225304.84,2784000,0,0,11787291.54,11787291.54,17797368.39,13348608.44,382772.78,4448759.95,7302683.81,17797368.39,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0125,"Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,383313.02,-76964.31,1617000,0,0,0,0,1923348.71,1199978.85,25335.2,723369.86,1767119.63,1923348.71,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0126,"Office of the Under Secretary for Farm and Foreign Agricultural Services, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,493817.14,3147.9,1727000,0,0,0,0,2223965.04,1651604.51,92579.14,572360.53,1727948.53,2223965.04,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0127,"Office of the Under Secretary for Rural Development, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,400045.66,27528.5,1620000,0,0,0,0,2047574.16,1627483.03,27528.5,420091.13,1065914.57,2047574.16,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0128,"Office of the Assistant Secretary for Natural Resources and Environment, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,333105.6,-67167.25,1000000,0,0,0,0,1265938.35,933594.86,15964.4,332343.49,1031538.78,1265938.35,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0129,"Office of the Under Secretary for Food, Nutrition and Consumer Services, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,443036,-130569.07,1251000,0,0,0,0,1563466.93,1188525.72,17393.36,374941.21,1193130.73,1563466.93,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0130,"Office of the Assistant Secretary for Civil Rights, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1180023.11,-104705.58,1466000,0,0,0,0,2541317.53,1251403.58,23356.13,1289913.95,1042147.59,2541317.53,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0133,"Nonrecurring Expenses Fund, Office of the Chief Financial Officer, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,184698348.71,42815831.37,-150000000,0,0,0,0,77514180.08,47435985.02,483142.16,30078195.06,7185056.74,77514180.08,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0136,"Office of Ethics, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,601500.03,20550.71,5436000,0,0,866657.9,866657.9,6924708.64,6204120.49,118878.17,720588.15,5147305.87,6924708.64,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0137,"Rental Assistance Program, Rural Housing Service, Agriculture",Department of Agriculture,Income Security,Housing assistance,55676760.56,497858.87,1487926000,0,0,0,0,1544100619.43,1527936184.99,497858.87,16164434.44,1418876047.74,1544100619.43,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0170,"State Mediation Grants, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,3912648.7,264453.28,7000000,0,0,0,0,11177101.98,5662536.68,267699.74,5514565.3,6021527.27,11177101.98,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0171,"Emergency Forest Restoration Program, Farm Service Agency, Agriculture",Department of Agriculture,Community and Regional Development,Disaster relief and insurance,369770147.66,11644668.51,27000000,0,0,0,0,408414816.17,40168882.7,30615798.31,368245933.47,25560847.2,408414816.17,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0176,"Office of the Under Secretary for Trade and Foreign Agricultural Affairs, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,565545.56,-84477.9,932000,0,0,0,0,1413067.66,802335.2,5530.62,610732.46,761879.04,1413067.66,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0177,"Office of Codex Alimentarius, Office of the Secretary, Agriculture",Department of Agriculture,Health,Consumer and occupational health and safety,1614145.92,-170127.85,4922000,0,0,0,0,6366018.07,4845459.19,516012.33,1520558.88,5492004.38,6366018.07,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0180,"Farm Production and Conservation Business Center, Farm Production and Conservation Programs, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,26657014.1,5019822.63,307612000,0,0,158516715.85,158516715.85,497805552.58,328608997.73,5019822.63,169196554.85,309265272.03,497805552.58,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0215,"Payment to Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,0,0,2250000,0,0,0,0,2250000,2250000,0,0,2250000,2250000,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0403,"Salaries and Expenses, Rural Development, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,83168874.47,28933160.27,353986000,0,0,506433709.23,506433709.23,972521743.97,871126117.99,8957632.95,101395625.98,854851104.76,972521743.97,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0405,"Rural Development Disaster Assistance Fund, Rural Development, Agriculture",Department of Agriculture,Community and Regional Development,Disaster relief and insurance,7105414.77,0,0,0,0,0,0,7105414.77,0,0,7105414.77,0,7105414.77,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0408,"Food Supply Chain and Agriculture Pandemic Response Program Account, Rural Development Administration, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,1777876251.85,1135928.86,-329556396.72,0,0,0,0,1449455783.99,1448644017.81,1135928.86,811766.18,216067119.3,1449455783.99,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0470,"Office of Safety, Security, and Protection, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,7663129.73,37164.46,21800000,0,0,1958497.75,1958497.75,31458791.94,22344350.85,37164.46,9114441.09,24210917.11,31458791.94,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0500,"Hazardous Materials Management, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,5517543.5,1193331.26,7581000,0,0,0,0,14291874.76,8476846.58,1193331.26,5815028.18,2594979.58,14291874.76,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0502,"Extension Activities, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,56138967.58,6024403.75,658218596.05,0,0,80187397.71,80187397.71,800569365.09,736197881.32,6479201.15,64371483.77,643605576.61,800569365.09,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0503,"Office of Budget and Program Analysis, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,654877.6,235221.53,14967000,0,0,711813.97,711813.97,16568913.1,15621925.65,250173.9,946987.45,14404822.93,16568913.1,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0600,"Salaries and Expenses, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,131715017.02,15534983.92,1215307000,0,0,351609835.78,351609835.78,1714166836.72,1518106241.96,23646422.9,196060594.76,1473750460.86,1714166836.72,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0601,"Outreach for Socially Disadvantaged Farmers, Office of the Secretary, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1014271.79,404377.28,0,0,0,0,0,1418649.07,1418648,404377.28,1.07,0,1418649.07,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0706,"Office of Hearings and Appeals Division, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,2280753.93,-194481.87,16503000,0,0,0,0,18589272.06,16303812.86,396612.72,2285459.2,16263178.82,18589272.06,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-0900,"Office of the Inspector General, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,21004878.17,-173662.53,116276800,0,0,4869280.02,4869280.02,141977295.66,118442369.71,3455098.7,23534925.95,116257818.84,141977295.66,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1000,"Conservation Operations, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,4906870121.59,38188157.23,941124000,0,0,-47328749.65,-47328749.65,5838853529.17,3904246448.26,41250564.12,1934607080.91,887881820.72,5838853529.17,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1002,"Watershed Rehabilitation Program, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Water resources,107760118.06,11937123.86,2000000,0,0,668300.38,668300.38,122365542.3,56214688.08,13042169.63,66150854.22,29472493.1,122365542.3,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1003,"Biomass Research and Development, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Energy,Energy supply,3592962.02,62614.3,0,0,0,0,0,3655576.32,0,62614.3,3655576.32,324260.82,3655576.32,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1004,"Farm Security and Rural Investment Programs, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,5050250476.15,442640045.41,4580082445,0,0,46294134.89,46294134.89,10119267101.45,4782707399.03,442640045.41,5336559702.42,3365487369.73,10119267101.45,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1005,"Urban Agriculture and Innovative Production, Natural Resource and Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,0,0,8500000,0,0,0,0,8500000,8452316.09,0,47683.91,198773.49,8500000,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1010,"Resource Conservation and Development, Natural Resources Conservation Services, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,72428.93,0,0,0,0,0,0,72428.93,0,0,72428.93,0,72428.93,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1072,"Watershed and Flood Prevention Operations, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Water resources,1128289378.17,131303981.27,1047150000,0,0,-5802526.89,-5802526.89,2300940832.55,873447154.09,131303981.27,1427493678.46,283378693.42,2300940832.55,2023-11-17
